job,species,lat,lon,,
postdoc,walleye,41.739,-81.276,,research ongoing
postdoc,walleye,42.885,-79.249,,research ongoing
postdoc,walleye,42.812,-78.859,,research ongoing
postdoc,walleye,42.315,-79.658,,research ongoing
postdoc,walleye,46.634,-90.661,,research ongoing
postdoc,walleye,44,-76.059,,research ongoing
postdoc,walleye,46.499,-89.578,,research ongoing
postdoc,walleye,46.275,-84.319,,research ongoing
postdoc,walleye,45.786,-87.023,,research ongoing
postdoc,walleye,42.599,-82.8,,research ongoing
postdoc,walleye,43.326,-86.055,,research ongoing
postdoc,walleye,43.9,-83.951,,research ongoing
postdoc,walleye,44.149,-77.212,,research ongoing
postdoc,walleye,48.915,-88.172,,research ongoing
postdoc,walleye,44.52,-87.99,,research ongoing
postdoc,walleye,43.2,-75.93,,research ongoing
postdoc,walleye,48.873,-88.442,,research ongoing
postdoc,walleye,45.115,-80.03,,research ongoing
postdoc,walleye,46.66746,-92.2875,,research ongoing
postdoc,walleye,41.769,-81.226,,research ongoing
postdoc,walleye,44.089,-88.689,,research ongoing
PhD,tessellated darters,44.27676,-73.18227,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.27807,-73.17744,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.6348,-73.26476,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.2621,-73.20491,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.24732,-73.23112,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.25991,-73.21305,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.92105,-73.12561,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.26529,-73.20498,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.567277,-73.328749,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.27845,-73.17637,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.28183,-73.17336,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.55848,-73.30446,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.63026,-73.26195,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.63041,-73.26317,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.54328,-73.15337,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.90565,-73.10561,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.51031,-73.13092,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.51338,-73.12761,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,tessellated darters,44.5609,-73.31036,https://doi.org/10.1007/s10592-018-1107-2,Euclide & Marsden 2018
PhD,walleye,44.921844,-73.124013,,Euclide et al. in prep
PhD,walleye,44.618548,-73.216587,,Euclide et al. in prep
PhD,walleye,44.486473,-73.192634,,Euclide et al. in prep
PhD,walleye,44.212206,-73.3202,,Euclide et al. in prep
PhD,walleye,43.583536,-73.38438,,Euclide et al. in prep
PhD,whitefish,44.666765,-73.347175,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.682673,-73.251113,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.675071,-73.225793,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.657078,-73.255175,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.702216,-73.349638,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.14756,-73.367425,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.312189,-73.29769,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,45.038431,-73.121532,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
